exchg_rt_typ_cd,from_crncy_cd,to_crncy_cd,valid_from_dt,valid_to_dt,exchg_rt_val,refresh_datetime
P,DOP,USD,2025-01-01,9999-12-31,0.01632,2025-05-15 00:00:06.548906+00:00
P,JOD,USD,2025-01-01,9999-12-31,1.37037,2025-05-15 00:00:06.548906+00:00
P,MXN,USD,2025-01-01,9999-12-31,0.05663,2025-05-15 00:00:06.548906+00:00
P,UAH,USD,2025-01-01,9999-12-31,0.02083,2025-05-15 00:00:06.548906+00:00
P,TWD,USD,2025-01-01,9999-12-31,0.03171,2025-05-15 00:00:06.548906+00:00
P,SAR,USD,2025-01-01,9999-12-31,0.26555,2025-05-15 00:00:06.548906+00:00
P,VND,USD,2025-01-01,9999-12-31,0.03828,2025-05-15 00:00:06.548906+00:00
P,INR,USD,2025-01-01,9999-12-31,0.01168,2025-05-15 00:00:06.548906+00:00
P,MYR,USD,2025-01-01,9999-12-31,0.2168,2025-05-15 00:00:06.548906+00:00
P,OMR,USD,2025-01-01,9999-12-31,2.58741,2025-05-15 00:00:06.548906+00:00
P,TND,USD,2025-01-01,9999-12-31,0.3,2025-05-15 00:00:06.548906+00:00
P,HKD,USD,2025-01-01,9999-12-31,0.12892,2025-05-15 00:00:06.548906+00:00
P,ZMW,USD,2025-01-01,9999-12-31,0.03238,2025-05-15 00:00:06.548906+00:00
P,PAB,USD,2025-01-01,9999-12-31,1,2025-05-15 00:00:06.548906+00:00
P,JPY,USD,2025-01-01,9999-12-31,0.0000677,2025-05-15 00:00:06.548906+00:00
P,BDT,USD,2025-01-01,9999-12-31,0.0073,2025-05-15 00:00:06.548906+00:00
P,IDR,USD,2025-01-01,9999-12-31,0.00006133,2025-05-15 00:00:06.548906+00:00
P,PKR,USD,2025-01-01,9999-12-31,0.00326,2025-05-15 00:00:06.548906+00:00
P,NOK,USD,2025-01-01,9999-12-31,0.09463,2025-05-15 00:00:06.548906+00:00
P,HNL,USD,2025-01-01,9999-12-31,0.03841,2025-05-15 00:00:06.548906+00:00
P,SVC,USD,2025-01-01,9999-12-31,0.11327,2025-05-15 00:00:06.548906+00:00
P,RUB,USD,2025-01-01,9999-12-31,0.00925,2025-05-15 00:00:06.548906+00:00
P,BOB,USD,2025-01-01,9999-12-31,0.14249,2025-05-15 00:00:06.548906+00:00
P,THB,USD,2025-01-01,9999-12-31,0.02775,2025-05-15 00:00:06.548906+00:00
P,ISK,USD,2025-01-01,9999-12-31,0.00694,2025-05-15 00:00:06.548906+00:00
P,KRW,USD,2025-01-01,9999-12-31,0.0000074,2025-05-15 00:00:06.548906+00:00
P,XAF,USD,2025-01-01,9999-12-31,0.15994,2025-05-15 00:00:06.548906+00:00
P,COP,USD,2025-01-01,9999-12-31,0.24722,2025-05-15 00:00:06.548906+00:00
P,ARS,USD,2025-01-01,9999-12-31,0.0006,2025-05-15 00:00:06.548906+00:00
P,QAR,USD,2025-01-01,9999-12-31,0.27273,2025-05-15 00:00:06.548906+00:00
P,NGN,USD,2025-01-01,9999-12-31,0.00055,2025-05-15 00:00:06.548906+00:00
P,MWK,USD,2025-01-01,9999-12-31,0.00054,2025-05-15 00:00:06.548906+00:00
P,CNY,USD,2025-01-01,9999-12-31,0.14176,2025-05-15 00:00:06.548906+00:00
P,EGP,USD,2025-01-01,9999-12-31,0.01888,2025-05-15 00:00:06.548906+00:00
P,RON,USD,2025-01-01,9999-12-31,0.2168,2025-05-15 00:00:06.548906+00:00
P,NIO,USD,2025-01-01,9999-12-31,0.02413,2025-05-15 00:00:06.548906+00:00
