gameplan_version,gameplan_date,gameplan_owner,crop,pre_cmrcl_nm,variety,basic_nbr,regional_pmc,global_pmc,country,subregion,sales_territory,gsbt,abci,producibility,pmc_positioning,replaced_variety,impact_replaced_variety,launch_category,year_intended_launch,year_intended_first_sales,uom_sales,currency,first_year_sales,second_year_sales,third_year_sales,first_year_baseprice,second_year_baseprice,third_year_baseprice,first_year_market_funding,second_year_market_funding,third_year_market_funding,first_year_market_value,second_year_market_value,third_year_market_value,first_year_cogs,second_year_cogs,third_year_cogs,uuid,launch_description,created_at,first_year_projected_net_sales_value,second_year_projected_net_sales_value,third_year_projected_net_sales_value,first_year_projected_net_sales_price_per_mk,second_year_projected_net_sales_price_per_mk,third_year_projected_net_sales_price_per_mk,first_year_projected_margin_pct,second_year_projected_margin_pct,third_year_projected_margin_pct,first_year_projected_market_share_pct,second_year_projected_market_share_pct,third_year_projected_market_share_pct
4B->5X,2023-09-20,HONGMEI GUO,PEPPER,21-GB-ALG-0024,SVHA0024,30206504,ALG-A-Kimchi-Dry,ALG-OPF-Dry,South Korea,KOREA/JAPAN,KOREA,Gold,C,Medium,Replacement,SVHA0021,1.0,Basic,11/1/2023,11/1/2023,KCS,USD,7,40,50,2200.0,2200.0,2200.0,,,,13127380.0,12289110.0,12781720.0,367.8,,367.8,84583c68-8511-4065-9962-7659959bb31a,2023_PEPPER_21-GB-ALG-0024_SVHA0024_PM10003027_KR,3/12/2024 9:43:38 PM,15400.0,88000.0,110000.0,2200.0,2200.0,2200.0,83.28181,100.0,83.28181,0.001173121,0.007160809,0.008606038
4B->5X,2023-12-13,HONGMEI GUO,PEPPER,21-GB-ALG-0126,SVHA0126,30166917,ALG-A-Kimchi-Dry,ALG-OPF-Dry,South Korea,KOREA/JAPAN,KOREA,Gold,C,Easy,Replacement,BAICALLA S,1.0,Basic,11/1/2023,11/1/2023,KCS,USD,15,40,50,2000.0,2000.0,2000.0,,,,13127380.0,12289110.0,12781720.0,367.8,,367.8,25c11b16-e9a0-4549-b43a-6070052fe836,2023_PEPPER_21-GB-ALG-0126_SVHA0126_PM10003027_KR,3/12/2024 9:55:44 PM,30000.0,80000.0,100000.0,2000.0,2000.0,2000.0,81.61,100.0,81.61,0.0022853,0.006509827,0.00782367
4B->5X,2024-02-16,JOSE LUIS GONZALEZ,TOMATO,17-YA-FIS-7819,MACONDO,13101270,FIS-M-OPF-Large-Loose-Hot Wet Uniform,FIS-OPF-Spring & Summer,Colombia,ANDEAN NORTH,COLOMBIA,Gold,C,Medium,Brand New,,,Basic,2/1/2024,3/1/2024,MK,USD,3000,5000,8000,50.0,51.5,53.05,0.13,0.13,0.13,5346959.0,5378191.0,5376040.0,3.8,3.9,4.03,23cbe261-71ec-44f1-b822-4a08946b4c0d,2024_TOMATO_17-YA-FIS-7819_MACONDO_PM10002724_CO,2/16/2024 5:42:49 PM,130500.0,224025.0,369228.0,43.5,44.805,46.1535,91.26437,91.29561,91.26826,0.0244064,0.04165434,0.06868029
4B->5X,2023-08-30,DANIELA AUGUSTINHO,SWEET CORN,20-AV-TSY-0495,SVSN0495,30180785,TSY-M-Processing,TSY-OPF,Brazil,BRAZIL,BRAZIL,Gold,B,Medium,Replacement,SVSN1143,1.0,Basic,9/1/2024,9/1/2024,MK,USD,60000,96000,60000,3.93,4.01,4.09,0.32,0.32,0.32,9840538.0,10132710.0,10435980.0,1.26,1.28,1.3,e2ae9ca0-fd1f-4dd0-90ac-3166d7a24855,2024_SWEET CORN_20-AV-TSY-0495_SVSN0495_PM10008926_BR,8/26/2024 10:10:12 AM,160344.0,261772.8,166872.0,2.6724,2.7268,2.7812,52.85137,53.05854,53.25759,0.01629423,0.02583444,0.01599006
4B->5X,2023-08-30,,TOMATO,16-A8-FIR-3562,AMANKAY,13009965,FIR-M-GRH-Large-Loose-Hot Dry to Cold,FIR-GRH-Large-Loose-Autumn,Costa Rica,CA/CARIBBEAN,CENTRAL AMERICA,,C,Easy,Complementation,DRW 7810,,Basic,12/1/2022,12/1/2022,MK,USD,600,1000,1300,140.0,140.0,144.2,0.25,0.25,0.25,,,,54.0,54.0,8.0,9c0d7ac6-898c-4c61-8cc6-929dd3069397,2023_TOMATO_16-A8-FIR-3562_AMANKAY_PM10002707_CR,9/29/2023 10:35:22 AM,63000.0,105000.0,140595.0,105.0,105.0,108.15,48.57143,48.57143,92.60287,,,
4B->5X,2024-07-24,FLORENCE MUTHEE,TOMATO,21-9W-FDS-8805,SVTE8805,30172714,FDS-E-OPF-Hot to Cold,FDS-OPF-Large,Kenya,CENTER EAST AFRICA,CENTER EAST AFRICA,Gold,C,Easy,Complementation,,,Basic +,11/1/2024,11/1/2024,MK,KES,10000,20000,70000,2150.0,2215.0,2280.0,0.3,0.3,0.3,571468400.0,588101600.0,605319200.0,508.0,524.0,540.0,cf4b08e4-32b3-4b72-8bd7-eb256c1f0f8f,2024_TOMATO_21-9W-FDS-8805_SVTE8805_PM10008884_KE,7/24/2024 7:38:54 AM,15050000.0,31010000.0,111720000.0,1505.0,1550.5,1596.0,66.24585,66.20445,66.16541,0.02633567,0.05272898,0.1845638
4B->5X,2024-05-09,AGATHE GUERRERO,CUCUMBER,19-Y3-BAP-6028,SPLASH,30064298,BAP-E-GLS-Mini,BAP-GLS-Mini,Netherlands,EMEA GLASS,GLASS NORDICS;GLASS GERMANY;GLASS UNITED KINGDOM;GLASS BENELUX;GLASS FRANCE,,C,Easy,Brand New,,,Basic +,9/1/2023,12/1/2023,MK,EUR,16,16,16,750.0,765.0,780.0,0.05,0.05,0.05,,,,53.0,53.0,53.0,c093d63f-8e33-430a-9899-0744056eb7c3,2024_CUCUMBER_19-Y3-BAP-6028_SPLASH_PM10008915_NL,5/9/2024 2:54:39 AM,11400.0,11628.0,11856.0,712.5,726.75,741.0,92.56141,92.70726,92.8475,,,
4B->5X,2023-10-19,AGATHE GUERRERO,CUCUMBER,21-Y3-EUR-9636,PAXTOR,30163905,EUR-E-GLS-Umbrella-Medium,EUR-GLS-Umbrella-Medium,Netherlands,EMEA GLASS,GLASS UNITED KINGDOM;GLASS NORDICS;GLASS GERMANY;GLASS FRANCE;GLASS BENELUX,Gold,C,,Replacement,JADEO,1.0,Basic,9/1/2023,1/1/2024,MK,EUR,1000,2000,3000,700.0,717.0,731.0,,,,5350829.0,5414664.0,5377929.0,53.18,53.18,53.18,2c8361fe-d758-47bd-a973-f541fda67267,2023_CUCUMBER_21-Y3-EUR-9636_PAXTOR_PM10002149_NL,4/9/2024 5:29:16 AM,700000.0,1434000.0,2193000.0,700.0,717.0,731.0,92.40285,92.58298,92.72503,0.1308209,0.2648364,0.4077778
4B->5X,2024-10-02,AGATHE GUERRERO,PEPPER,23-XZ-BLK-1795,LOADER,30326559,BLK-E-GLS-Red,BLK-GLS-Red,Netherlands,EMEA GLASS,GLASS NORDICS;GLASS GERMANY;GLASS UNITED KINGDOM;GLASS BENELUX;GLASS FRANCE,Gold,C,Medium,Brand New,,,Basic +,9/1/2024,10/1/2024,MK,EUR,500,1000,2000,670.0,683.4,697.07,0.85,0.85,0.85,13566340.0,14276940.0,14935860.0,14.96,14.96,14.96,57514c5e-c8de-4871-8753-7f2d7b81ee04,2024_PEPPER_23-XZ-BLK-1795_LOADER_PM10002952_NL,10/2/2024 12:05:31 PM,50249.99,102510.0,209121.0,100.5,102.51,104.5605,85.11443,85.4063,85.69249,0.00370402,0.007180107,0.01400127
4B->5X,2024-06-06,AGATHE GUERRERO,TOMATO,22-HE-CCT-8093,BEAUTISHER,30297435,CCT-E-GLS-Cherry Plum-Truss,CCT-GLS-Cherry-Plum Truss,Netherlands,EMEA GLASS,GLASS NORDICS;GLASS GERMANY;GLASS UNITED KINGDOM;GLASS BENELUX;GLASS FRANCE,Gold,B,Medium,Replacement,DELISHER,0.8,Basic +,4/1/2024,4/1/2024,MK,EUR,865,1839,1807,1845.0,1891.0,1938.0,0.15,0.15,0.15,527355.0,696109.0,871402.0,17.63,17.63,17.63,d23d39cd-0ac4-4c4b-8943-ef05abb920b8,2024_TOMATO_22-HE-CCT-8093_BEAUTISHER_PM10002752_NL,6/24/2024 6:49:55 AM,1356536.0,2955917.0,2976671.0,1568.25,1607.35,1647.3,98.87582,98.90316,98.92976,2.57234,4.246342,3.415956
