mtrl_nbr,matrl_typ,prod_hierarchy,fmly_nm,mtrl_grp,specie_nm,fmly_cd,mat_pric_grp,prod_typ_cd,covar_id,variety_nm,variety_cd,scnd_nm,variety_abbrv_cd,rprdctn_typ_nm,gnrtn_cd,basic_mtrl_nbr,basic_mtrl_dsc,semi_100_mtrl_nbr,semi_100_mtrl_dsc,pricing_ref_mtrl_nbr,phase_cd,base_uom_cd,brand_nm,pkg_uom_nm,pkg_uom_desc,pkg_dsc,pkg_typ_dsc,pkg_typ_nm,pkg_siz_nm,trtmnt_cd,trtmnt_dsc,trtmnt_long_dsc,carrier_dsc,seed_enhcmnt_cd,seed_enhcmnt_dsc,mod_dsc,seed_size_dsc,min_wgt_to_size_ratio,nbr_of_sizes_cnt,pllntr_nm,pllntr_abbrv,sllng_env_nm,sllng_env_desc,crop_cd,dffclt_to_prdc_cd,labeling_dsc,pre_prntd_pkg_dsc,matur_index_nbr,brdr_cd,short_mtrl_dsc,chng_dt,blndr_mtrl_dsc,sub_mrkt_nm,sub_sub_mrkt_nm,supply_chain_ownr_nm,pre_cmrcl_nm,shelf_life_days_cnt,royalty_cd,prev_nm_1,prev_nm_2,prev_nm_3,prev_nm_4,prev_nm_5,gross_mrgn_pct,old_mtr_nbr,criticality_nbr,mtrl_pricing_grp_dsc,prod_typ_dsc,gnrtn_nm,basic_tsw,semi_tsw,veg_male_prntl_mtrl_nbr,male_prntl_basic_mtrl_nbr,male_variety_nm,veg_female_prntl_mtrl_nbr,female_prntl_basic_mtrl_nbr,female_variety_nm,carrier_cd,aa_mtrl_cd,brnd_nm_desc,del_ind,futr_mtrl_ind,own_rgn_nm,prod_precmrcl_nm,df_mtrl_ind,scndry_vrty_nm,prod_fmly_cd,prod_fmly_nm,prod_grp_cd,mtrl_grp_desc,owning_segment,refresh_datetime
000000000011199075,HALB,Y1124HS1OPFBRO0600,BRASSICA,H124,BROCCOLI,Y1,S1,BRO,43910909,BC1611,77787,,BC1611,HYB,C,000000000011199075,VS1.BC1611.DRTY.100.000.000,000000000011199076,VS1.BC1611.SEMI.100.000.000,,5B,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,0.0,6,,,OPF,Open Field 1,063H, ,,,0.0,,VS1.BC1611.DRTY.100.000.000,2025-02-12, ,,,OPN,RS-05151611,, ,RX 05151611,RS 05151611,,,,P1,,,HYB BROCCOLI,Broccoli,Commercial Seed,6.945,6.945,000000000011442160,10855870,BRE-51-1160SC,000000000011439148,10895354,BRE-51-22-SI,000,DRTY,S - SVS,,,NAM,,N-A,,Y1,BRASSICA,H124,BROCCOLI,OPN,2025-05-15 00:10:02.592369+00:00
000000000010916060,HALB,Y1124HS1OPFBRO0600,BRASSICA,H124,BROCCOLI,Y1,S1,BRO,40762109,LIEUTENANT,62215,,LIEUTENANT,HYB,C,000000000010916060,VS1.LIEUTENANT.DRTY.100.000.000,000000000010916061,VS1.LIEUTENANT.SEMI.100.000.000,,5C,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,,0.0,6,,,OPF,Open Field 1,063H, ,,,0.0,,VS1.LIEUTENANT.DRTY.100.000.000,2025-01-06, ,,,OPN,PX-05151597,,X,PX 05151597,LIEUTENANT,,,,P1,,,HYB BROCCOLI,Broccoli,Commercial Seed,4.646,4.646,000000000011431343,10843725,BRM-51-1152SC,000000000011428252,10910269,BRL-51-1137CMS,000,DRTY,S - SVS,,,NAM,,N-A,,Y1,BRASSICA,H124,BROCCOLI,OPN,2025-05-15 00:10:02.592369+00:00
000000000010833041,HALB,Y1124HS1OPFBRO0600,BRASSICA,H124,BROCCOLI,Y1,S1,BRO,40762709,LEGACY,4043,,LEGACY,HYB,C,000000000010833041,VS1.LEGACY.DRTY.100.000.000,000000000010817124,VS1.LEGACY.SEMI.100.000.000,,5B,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,,0.0,7,,,OPF,Open Field 1,063H, ,,,0.0,,VS1.LEGACY.DRTY.100.000.000,2025-02-14, ,,,OPN,LEGACY,, ,XPH 5914,,,,,P1,,,HYB BROCCOLI,Broccoli,Commercial Seed,4.323,4.323,000000000011444806,10890772,BRM 55-9 SI,000000000011428375,10759984,BRL-55-17-SI,000,DRTY,S - SVS,,,SAM,,N-A,,Y1,BRASSICA,H124,BROCCOLI,OPN,2025-05-15 00:10:02.592369+00:00
000000000011061973,HALB,Y1124HS1OPFBRO0600,BRASSICA,H124,BROCCOLI,Y1,S1,BRO,43909909,BC1691,36155,,BC1691,HYB,C,000000000011061973,VS1.BC1691.DRTY.100.000.000,000000000011061974,VS1.BC1691.SEMI.100.000.000,,5B,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,0.0,7,,,OPF,Open Field 1,063H, ,,,0.0,,VS1.BC1691.DRTY.100.000.000,2025-01-06, ,,,OPN,PS-05161691,,X,PX 05161691,PS 05161691,,,,P1,,,HYB BROCCOLI,Broccoli,Commercial Seed,5.441,5.441,000000000011431343,10843725,BRM-51-1152SC,000000000011436730,10853072,BRL-51-1059CMS,000,DRTY,S - SVS,,,SAM,,N-A,,Y1,BRASSICA,H124,BROCCOLI,OPN,2025-05-15 00:10:02.592369+00:00
000000000010768222,HALB,Y1124HS1OPFBRO0600,BRASSICA,H124,BROCCOLI,Y1,S1,BRO,40760809,CASTLE DOME,4009,,CASTLE DOME,HYB,C,000000000010768222,VS1.CASTLE DOME.DRTY.100.000.000,000000000010808529,VS1.CASTLE DOME.SEMI.100.000.000,,5B,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,,0.0,6,,,OPF,Open Field 1,063H, ,,,0.0,,VS1.CASTLE DOME.DRTY.100.000.000,2025-01-06, ,,,OPN,PX-05131536,,X,PX 05131536,PS 05131536,CASTLE DOME (PS 05131536),,,P1,,,HYB BROCCOLI,Broccoli,Commercial Seed,6.435,6.435,000000000011436916,10842677,BRE-51-1134-SC,000000000011432199,10910328,BRE-51-1125CMS,000,DRTY,S - SVS,,,NAM,,N-A,,Y1,BRASSICA,H124,BROCCOLI,OPN,2025-05-15 00:10:02.592369+00:00
000000000010761100,HALB,Y1124HS1OPFBRO0600,BRASSICA,H124,BROCCOLI,Y1,S1,BRO,40764409,HERITAGE,4033,,HERITAGE,HYB,C,000000000010761100,VS1.HERITAGE.DRTY.100.000.000,000000000010820252,VS1.HERITAGE.SEMI.100.000.000,,5B,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,,0.0,6,,,OPF,Open Field 1,063H, ,,,0.0,,VS1.HERITAGE.DRTY.100.000.000,2025-01-06, ,,,OPN,PX-255295,,X,PX 255295,PS 255295,HERITAGE(PS 255295),HERITAGE,,P1,,,HYB BROCCOLI,Broccoli,Commercial Seed,5.075,5.075,000000000011434154,10843870,BRL-51-99-SC,000000000011443771,10844377,BRM-51-23CMS,000,DRTY,S - SVS,,,NAM,,N-A,,Y1,BRASSICA,H124,BROCCOLI,OPN,2025-05-15 00:10:02.592369+00:00
000000000010780268,HALB,Y1124HS1OPFBRO0600,BRASSICA,H124,BROCCOLI,Y1,S1,BRO,43910809,SIBSEY,29819,,SIBSEY,HYB,C,000000000010780268,VS1.SIBSEY.DRTY.100.000.000,000000000010834454,VS1.SIBSEY.SEMI.100.000.000,,5C,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,,0.0,5,,,OPF,Open Field 1,063H, ,,,0.0,,VS1.SIBSEY.DRTY.100.000.000,2025-01-06, ,,,OPN,RX-05950001,,X,RX 05950001,RS 05950001,,,,P2,,,HYB BROCCOLI,Broccoli,Commercial Seed,4.993,4.993,000000000011445998,10895544,BRE-53-3913SI,000000000011440459,10893257,BRE-53-3912-CMS,000,DRTY,S - SVS,,,EMEA,,N-A,,Y1,BRASSICA,H124,BROCCOLI,OPN,2025-05-15 00:10:02.592369+00:00
000000000011184124,HALB,Y1124HS1OPFBRO0600,BRASSICA,H124,BROCCOLI,Y1,S1,BRO,43632709,BC1764,812,,BC1764,HYB,C,000000000011184124,VS1.BC1764.DRTY.100.000.000,000000000011184125,VS1.BC1764.SEMI.100.000.000,,5B,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,0.0,6,,,OPF,Open Field 1,063H, ,,,0.0,,VS1.BC1764.DRTY.100.000.000,2025-01-06, ,,,OPN,PS-05171764,,X,PX 05171764,PS 05171764,,,,P1,,,HYB BROCCOLI,Broccoli,Commercial Seed,6.58,6.58,000000000011431343,10843725,BRM-51-1152SC,000000000011432199,10910328,BRE-51-1125CMS,000,DRTY,S - SVS,,,NAM,,N-A,,Y1,BRASSICA,H124,BROCCOLI,OPN,2025-05-15 00:10:02.592369+00:00
000000000010840768,HALB,Y1124HS1OPFBRO0600,BRASSICA,H124,BROCCOLI,Y1,S1,BRO,43909509,CHEVALIER,29815,,CHEVALIER,HYB,C,000000000010840768,VS1.CHEVALIER.DRTY.100.000.000,000000000010758944,VS1.CHEVALIER.SEMI.100.000.000,,5C,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,,0.0,6,,,OPF,Open Field 1,063H, ,,,0.0,,VS1.CHEVALIER.DRTY.100.000.000,2025-01-06, ,,,OPN,XP-12149,,X,CHEVALIER(XP 12149),,,,,P2,,,HYB BROCCOLI,Broccoli,Commercial Seed,3.651,3.651,000000000011444806,10890772,BRM 55-9 SI,000000000011444940,10855630,BRL-55-17CMS,000,DRTY,S - SVS,,,NAM,,N-A,,Y1,BRASSICA,H124,BROCCOLI,OPN,2025-05-15 00:10:02.592369+00:00
000000000011484438,HALB,Y1124HS1OPFBRO0600,BRASSICA,H124,BROCCOLI,Y1,S1,BRO,44386409,SV1822BL,88794,,SV1822BL,HYB,C,000000000011484438,VS1.SV1822BL.DRTY.100.000.000,000000000011484439,VS1.SV1822BL.SEMI.100.000.000,,5B,KCS,06,0,N/A,DRTY,DRTY,DIRTY,0000,100,NOT TREATED,Non Treat,Not Applicable,000,Not Applicable,00,0,0.0,6,,,OPF,Open Field 1,063H, ,,,0.0,,VS1.SV1822BL.DRTY.100.000.000,2025-01-06, ,,,OPN,SVR-05181822,,X,SVR-05181822,,,,,P1,,,HYB BROCCOLI,Broccoli,Commercial Seed,3.651,3.651,000000000011433444,11305182,BRL-51-1264SC,000000000011442156,10895666,BRM-51-1093CMS,000,DRTY,S - SVS,,,NAM,,N-A,,Y1,BRASSICA,H124,BROCCOLI,OPN,2025-05-15 00:10:02.592369+00:00
