SapBasicMatNum,Crop,CropType,Phase,MdId,MpgDesc,MarketProductName,WorldArea,xabci
12966948,CUCUMBER,,4J,,ORG HYB CUCUMBER PSL,DAVIDA ORG,ASIA,
30161085,TOMATO,,4J,490a6d60-ef6b-4bbf-bd57-3389162f5878,"ORG HYB TOMATO,FM ID",DRTH6639 ORG,EMEA,
30157780,CUCUMBER,,4A,cbc9cb01-7ccb-4eb0-9845-8c4eccec4d84,"HYB CUCUMBER, PARTH SL",DRCE9642,EMEA,
12658458,ONION,,4A,,"HYB ONION, LONG DAY",SVNY0023,AMPAC,
13016651,ONION,onion_croptype_normal,4A,779c1771-9e01-4205-a9f0-840b08f6dbca,"HYB ONION, MID DAY",SVNH3214,ASIA,
13074728,ONION,onion_croptype_normal,4A,,"HYB ONION, MID DAY",SVNE7194,AMPAC,
30053481,PEPPER,pepper_croptype_hot,4A,54e0e8ff-0610-43d6-a238-eff2c989d64c,"HYB PEPPER, SWEET",DRPB2651,ASIA,
13107872,SQUASH,,4A,eca34026-3e53-4fda-92ab-3dba99eb9e07,HYB SQUASH,SVYG6198,AMPAC,
13033404,TOMATO,,4A,991c2cee-3a36-45e9-8d8c-03911f5487a1,"HYB TOMATO, FMKT IND",DRTC9508,AMPAC,
12889215,TOMATO,,4A,49e5552b-947b-40e9-ad4f-5e258affa75a,"HYB TOMATO, FMKT IND",SVTG6417,AMPAC,
12535284,ONION,,4B,,"HYB ONION, LONG DAY",SVNY1496,AMPAC,
12413246,ONION,onion_croptype_normal,4B,3e67f675-17fb-4c8b-8cc5-2c7a7e9bd72c,"HYB ONION, MID DAY",SVNH8265,ASIA,
12694369,PEPPER,pepper_croptype_hot,4B,,"HYB PEPPER, HOT",SVHD1088,ASIA,C
12957840,PEPPER,pepper_croptype_sweet,4B,,"HYB PEPPER, SWEET",SVPB9514,AMPAC,C
12339577,PEPPER,,4B,,"HYB PEPPER, SWEET",SVPB9313,AMPAC,A
12962692,SWEET CORN,,4B,f42e0dd9-d0b7-4c3d-bb4c-9c3d247c6797,HYB SWEET CORN,SVSC2876,AMPAC,
30143214,TOMATO,,4B,,"HYB TOMATO, FMKT DET",SVTE8660,AMPAC,B
30104689,TOMATO,,4B,300494cc-4457-44a8-8134-506198e1f9f9,"HYB TOMATO, FMKT IND",DRTH5036,AMPAC,
12399546,WATERMELON,,4B,44082b60-c0da-4908-ac7c-4032aaaa5de6,HYB WATERMELON,SVWT2814,EMEA,
30119295,BEAN,,4B,4d01deb3-0877-430b-98bb-e102d86e7d85,"OP BEAN, GARDEN",SVGF2123,AMPAC,
30055273,TOMATO,,5A,,,ALBRICE,AMPAC,B
30055267,TOMATO,,5A,99bb3069-a747-49b9-97e9-1ea7426adce9,,PRODICE,AMPAC,
11886822,BROCCOLI,,5A,89b28337-de12-4a18-987f-e8bff4965085,HYB BROCCOLI,OSPREY,AMPAC,
12588370,BROCCOLI,,5A,,HYB BROCCOLI,PENNYBRIDGE,AMPAC,
12588370,BROCCOLI,,5A,,HYB BROCCOLI,PENNYBRIDGE,EMEA,
12588370,BROCCOLI,,5A,,HYB BROCCOLI,PENNYBRIDGE,ASIA,
12656206,BROCCOLI,,5A,,HYB BROCCOLI,ANDERSIA,ASIA,
12428777,BROCCOLI,,5A,,HYB BROCCOLI,SPECTRE,AMPAC,
12656206,BROCCOLI,,5A,d521fb00-0038-4d84-a16f-0aa515fb0e7c,HYB BROCCOLI,SVBL0273,EMEA,
10772409,CABBAGE,,5A,2ac0e225-efbe-499c-abba-ddb3b5e3c76b,HYB CABBAGE,PLATINUM DYNASTY,ASIA,
12560761,CARROT,,5A,2b904d7a-308b-4842-bc02-75512ad576a3,HYB CARROT,CARRUBA,EMEA,
12420620,CAULIFLOWER,,5A,,HYB CAULIFLOWER,SASSOLUNGO,EMEA,
11289637,CAULIFLOWER,,5A,631dfce0-ceef-4906-aed7-f98f14b1832e,HYB CAULIFLOWER,SV3630AC,ASIA,
12677178,CAULIFLOWER,,5A,,HYB CAULIFLOWER,SVAC6031,EMEA,
12567018,CAULIFLOWER,,5A,e718f5a0-8ac9-4cae-a8fa-c330c2d16957,HYB CAULIFLOWER,MARMOREX,AMPAC,
12567018,CAULIFLOWER,,5A,41720c62-7a33-4619-a303-228108a60933,HYB CAULIFLOWER,SVAC4739,EMEA,
12407065,CAULIFLOWER,,5A,06e53fbd-f142-41b4-8b5a-9fdb97242e7c,HYB CAULIFLOWER,SVAC7532,EMEA,
12656204,CAULIFLOWER,,5A,42c2c42c-13d4-4f7c-92a5-61dd10ba61ac,HYB CAULIFLOWER,BRITEX,EMEA,
12756518,CAULIFLOWER,,5A,,HYB CAULIFLOWER,SVAC3332,EMEA,C
12677172,CAULIFLOWER,,5A,,HYB CAULIFLOWER,PREDAZZO,EMEA,C
12192100,CAULIFLOWER,,5A,,HYB CAULIFLOWER,GIEFLOR,EMEA,
12607869,CUCUMBER,,5A,d43a550f-3dab-4d1a-8429-63fa8bd8256a,"HYB CUC, PARTH SL",GOTJA,EMEA,
12732272,CUCUMBER,,5A,503c0887-c3f9-463a-a2e0-8adbd46afff1,"HYB CUC, PARTH SL",GETTY,EMEA,
12654904,CUCUMBER,,5A,d4abed33-c3e6-48da-ab52-e5b18422ffb4,"HYB CUCUMBER, PARTH PK",SVCV0248,EMEA,
12654803,CUCUMBER,,5A,,"HYB CUCUMBER, PARTH PK",SVCV0196,EMEA,B
11627519,CUCUMBER,,5A,,"HYB CUCUMBER, PARTH SL",UNISTARS,ASIA,
11627519,CUCUMBER,,5A,7ab4d01c-1527-40b8-baf8-c2d0dd29c51e,"HYB CUCUMBER, PARTH SL",UNISTARS,AMPAC,
12989277,CUCUMBER,,5A,,"HYB CUCUMBER, PARTH SL",SVCB1339,EMEA,B
11642457,CUCUMBER,,5A,6ab64db4-8014-4839-8954-e19220c71c6d,"HYB CUCUMBER, PARTH SL",NOVOU F1,EMEA,
11627519,CUCUMBER,,5A,,"HYB CUCUMBER, PARTH SL",UNISTARS,EMEA,
11864638,CUCUMBER,,5A,044052e1-d311-460c-b4ab-518c291372c4,"HYB CUCUMBER, PARTH SL",PS 547,EMEA,
11864880,CUCUMBER,,5A,22717247-c99c-48cc-a813-b18c5d53ce5e,"HYB CUCUMBER, PARTH SL",LYSAI,EMEA,
13036697,CUCUMBER,,5A,,"HYB CUCUMBER, PARTH SL",SVCB5840,EMEA,B
12256688,EGGPLANT,,5A,15d7ab67-2f13-424a-b9de-7d1978a45fc1,HYB EGGPLANT,SV1574EV,EMEA,
12256688,EGGPLANT,,5A,dbb3d070-0882-47eb-a26c-ed63b6f03ac8,HYB EGGPLANT,SV1574EV,AMPAC,
12568688,FENNEL,,5A,3fba137d-fe9b-416a-99f2-36a5233fadb9,HYB FENNEL,CARTESIO,EMEA,
12811667,MELON,,5A,,HYB MELON,GALVIR,EMEA,B
12647419,MELON,,5A,,HYB MELON,CURELLA,EMEA,C
12788354,MELON,,5A,,HYB MELON,YACINE,EMEA,C
12399424,MELON,,5A,,HYB MELON,SVMG4974,AMPAC,
12537485,MELON,,5A,47979f50-ebf9-452c-a642-c4987dcc13c5,HYB MELON,ORANGELLY,AMPAC,
12811645,MELON,,5A,,HYB MELON,ALBIZU,EMEA,A
12537485,MELON,,5A,c53f18c0-ea5f-461d-8e98-a7538a3abd22,HYB MELON,ORANGELLY,EMEA,
12949710,MELON,,5A,164c2fac-424f-4097-887c-94d0682966a9,HYB MELON,ADAGIO,EMEA,
12537485,MELON,,5A,abc7949d-9de6-4f0d-9c7a-92081c2f3205,HYB MELON,ORANGELLY,ASIA,
12647410,MELON,,5A,957b5444-0a9d-404b-a259-a1eaaa36d90a,HYB MELON,ARINTO,EMEA,
12813903,MELON,,5A,f2e839fe-56cf-4690-8b0c-53345b10952d,HYB MELON,SVMA6561,EMEA,
12949716,MELON,,5A,a45c6855-9573-4624-9aff-698caa6d9140,HYB MELON,SVMC8424,EMEA,
12924927,MELON,,5A,,HYB MELON,SVMA6558,EMEA,C
